directory,catalog_id,publication_id,author,title_english,title_latin,pl_volume,columns,generation,review_status,translation_model,website,youtube,archive,doi,mapping
Patrologia_Latina/vol_133/John Italus of Cluny - Prologue to His Book on Miracles,pl133-012,pub-2685,John Italus of Cluny,Prologue to His Book on Miracles,Prologus in Librum suum de Miraculis,133,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=StQbtyPh8Zo,https://archive.org/details/prologue-to-his-book-on-miracles,,registry
Patrologia_Latina/vol_133/Laurentius of Monte Cassino - Sermon on the Vigil of Saint Benedict,pl133-013,pub-2691,Laurentius of Monte Cassino,Sermon on the Vigil of Saint Benedict,Sermo in vigiliis S Benedicti,133,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=LkjXkPAFFoI,https://archive.org/details/sermon-on-the-vigil-of-saint-benedict,,registry
Patrologia_Latina/vol_133/Odalricus of Reims - Sentence Against Sacrilegious Thieves,pl133-020,pub-2718,Odalricus of Reims,Sentence Against Sacrilegious Thieves,Sententia contra fures sacrilegos,133,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=xSAHXD2LUOs,https://archive.org/details/sentence-against-sacrilegious-thieves,,registry
Patrologia_Latina/vol_133/Odo of Cluny - The Life of Saint Odo Second Abbot of Cluny,pl133-001,pub-2721,Odo of Cluny,The Life of Saint Odo Second Abbot of Cluny,Vita Sancti Odonis Abbatis Cluniacensis Secundi,133,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/03/vita-sancti-odonis/,https://www.youtube.com/watch?v=Ysp8glHxXdQ,https://archive.org/details/the-life-of-saint-odo-second-abbot-of-cluny,10.5281/zenodo.17982561,registry
Patrologia_Latina/vol_133/Osbern of Canterbury - The Life of Saint Odo,pl133-001,pub-2723,Osbern of Canterbury,The Life of Saint Odo,Vita Sancti Odonis,133,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/03/vita-sancti-odonis/,https://www.youtube.com/watch?v=w0jb9hMRZ1Y,https://archive.org/details/the-life-of-saint-odo,,registry
Patrologia_Latina/vol_133/Pope Agapetus II - Letters and Privileges of Pope Agapetus II,pl133-014,pub-2740,Pope Agapetus II,Letters and Privileges of Pope Agapetus II,Epistolae et privilegia.,133,,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_133/Pope John XII - Letters and Privileges of Pope John XII,pl133-023,pub-2744,Pope John XII,Letters and Privileges of Pope John XII,Epistolae et privilegia Agapetus Papa II,133,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=IjxkoGW5ufk,https://archive.org/details/letters-and-privileges-of-pope-agapetus-ii,,registry
Patrologia_Latina/vol_133/Rorico of Laon - Constitution of Rorico,pl133-018,pub-2776,Rorico of Laon,Constitution of Rorico,Roriconis Constitutio,133,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/04/roriconis-constitutio/,https://www.youtube.com/watch?v=AlXtX9dZmh8,https://archive.org/details/constitution-of-rorico,10.5281/zenodo.17982607,registry
Patrologia_Latina/vol_133/Sigehard of Trier - On the Miracles of Saint Maximinus,pl133-021,pub-2806,Sigehard of Trier,On the Miracles of Saint Maximinus,De miraculis sancti Maximini,133,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=aV_uArzZA3o,https://archive.org/details/on-the-miracles-of-saint-maximinus,,registry
Patrologia_Latina/vol_134/Atto of Vercelli - The Polypticum which is called Perpendiculum (alternative recension),pl134-006,pub-2611,Atto of Vercelli,The Polypticum which is called Perpendiculum (alternative recension),Polypticum quod appellatur Perpendiculum (textus alter),134,881-892,gen3,coverage-verified,claude-sonnet-4.5,https://bibliothecarius-modernus.github.io/2026/05/polypticum-quod-appellatur-perpendiculum-textus-alter-atto-of-vercelli/,https://www.youtube.com/watch?v=4IdooTf19bQ,https://archive.org/details/atto-vercelli-polypticum-textus-alter,,registry
Patrologia_Latina/vol_14/Ambrose of Milan - One Book on the Flight from the World,pl014-008,pub-2598,Ambrose of Milan,One Book on the Flight from the World,"De Fuga Saeculi liber unus, script. circ. an. 387.",14,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=BjE_CLNYGfw,,,registry
Patrologia_Latina/vol_140/Adelbold of Utrecht - Treatise on Finding the Thickness of a Sphere,pl140-010,pub-2590,Adelbold of Utrecht,Treatise on Finding the Thickness of a Sphere,Libellus de Ratione Inveniendi Crassitudinem Sphaerae,140,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/11/libellus-de-crassitudine-sphaerae/,https://www.youtube.com/watch?v=44vqTfEStio,https://archive.org/details/adelbold-treatise-sphere-thickness,10.5281/zenodo.17982639,registry
Patrologia_Latina/vol_146/Othloh of St Emmeram - Book of His Temptations,pl146-001,pub-2878,Othloh of St Emmeram,Book of His Temptations,"Libellus de suis tentationibus, varia fortuna et scriptis.",146,29-58,gen3,defect-recorded,claude-sonnet-4.5,https://bibliothecarius-modernus.github.io/2026/06/liber-de-tentationibus-suis-othloh-of-st-emmeram/,https://www.youtube.com/watch?v=dSRNS5C3cO4,https://archive.org/details/othloh-de-tentationibus,,registry
Patrologia_Latina/vol_155/Goscelin of Canterbury - The Life of Saint Swithun,pl155-004,pub-2646,Goscelin of Canterbury,The Life of Saint Swithun,Vita S. Swithuni.,155,,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_155/Raoul Ardent - Sermons on the Feast of Saint Peter,pl155-017,pub-2765,Raoul Ardent,Sermons on the Feast of Saint Peter,Homiliarum tomus primus.,155,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=dXGZgqCgLNY,https://archive.org/details/sermons-on-the-feast-of-saint-peter,,registry
Patrologia_Latina/vol_158/Anselm of Canterbury - Book on the Virgin Conception,pl158-009,pub-2607,Anselm of Canterbury,Book on the Virgin Conception,Liber de cenceptu virginali et originali peccato,158,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/04/liber-de-cenceptu-virginali/,https://www.youtube.com/watch?v=hgSPaJGgsTo,https://archive.org/details/book-on-the-virgin-conception,10.5281/zenodo.17982613,registry
Patrologia_Latina/vol_160/Odo of Tournai (Odo of Cambrai) - On Blasphemy against the Holy Spirit,pl160-027,pub-2882,Odo of Tournai (Odo of Cambrai),On Blasphemy against the Holy Spirit,De blasphemia in Spiritum sanctum.,160,1111-1118,v2,coverage-verified,openai/gpt-5.5,https://bibliothecarius-modernus.github.io/2026/09/de-blasphemia-in-spiritum-sanctum-odo-of-tournai-odo-of-cambrai/,https://www.youtube.com/watch?v=yXD5x_ObVjY,https://archive.org/details/on-blasphemy-against-the-holy-spirit,,registry
Patrologia_Latina/vol_169/Rupert of Deutz - On the Glorification of the Trinity Book Eight,pl169-001,pub-2777,Rupert of Deutz,On the Glorification of the Trinity Book Eight,De glorificatione Trinitatis et processione sancti Spiritus.,169,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=2_x_YXQnbjU,,,registry
Patrologia_Latina/vol_169/Rupert of Deutz - On the Glorification of the Trinity Book Five,pl169-001,pub-2778,Rupert of Deutz,On the Glorification of the Trinity Book Five,De glorificatione Trinitatis et processione sancti Spiritus.,169,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=8GE7nfB_faE,,,registry
Patrologia_Latina/vol_169/Rupert of Deutz - On the Glorification of the Trinity Book Four,pl169-001,pub-2779,Rupert of Deutz,On the Glorification of the Trinity Book Four,De glorificatione Trinitatis et processione sancti Spiritus.,169,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=P4H3Qgfj9Z8,,,registry
Patrologia_Latina/vol_169/Rupert of Deutz - On the Glorification of the Trinity Book Nine,pl169-001,pub-2780,Rupert of Deutz,On the Glorification of the Trinity Book Nine,De glorificatione Trinitatis et processione sancti Spiritus.,169,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=eSW18pHIIt8,,,registry
Patrologia_Latina/vol_169/Rupert of Deutz - On the Glorification of the Trinity Book One,pl169-001,pub-2781,Rupert of Deutz,On the Glorification of the Trinity Book One,De glorificatione Trinitatis et processione sancti Spiritus Liber Primus,169,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/03/de-glorificatione-trinitatis/,https://www.youtube.com/watch?v=3lLq_1wsZFI,https://archive.org/details/on-the-glorification-of-the-trinity,10.5281/zenodo.17982585,registry
Patrologia_Latina/vol_169/Rupert of Deutz - On the Glorification of the Trinity Book Seven,pl169-001,pub-2782,Rupert of Deutz,On the Glorification of the Trinity Book Seven,De glorificatione Trinitatis et processione sancti Spiritus.,169,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=bsfGsiYJR8A,,,registry
Patrologia_Latina/vol_169/Rupert of Deutz - On the Glorification of the Trinity Book Six,pl169-001,pub-2783,Rupert of Deutz,On the Glorification of the Trinity Book Six,De glorificatione Trinitatis et processione sancti Spiritus.,169,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=c8qnVYqVy_g,,,registry
Patrologia_Latina/vol_169/Rupert of Deutz - On the Glorification of the Trinity Book Three,pl169-001,pub-2784,Rupert of Deutz,On the Glorification of the Trinity Book Three,De glorificatione Trinitatis et processione sancti Spiritus.,169,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=3gpbHzINu0w,,,registry
Patrologia_Latina/vol_169/Rupert of Deutz - On the Glorification of the Trinity Book Two,pl169-001,pub-2785,Rupert of Deutz,On the Glorification of the Trinity Book Two,De glorificatione Trinitatis et processione sancti Spiritus.,169,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=zrbGEE0_O1k,,,registry
Patrologia_Latina/vol_17/Ambrose of Milan - Exorcism,pl017-015,pub-2599,Ambrose of Milan,Exorcism,Exorcismus,17,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/05/exorcismus-ambrose/,https://www.youtube.com/watch?v=uSARcV6mxW4,https://archive.org/details/exorcism_202505,10.5281/zenodo.17982625,registry
Patrologia_Latina/vol_17/Saint Ambrose - Acts of St. Sebastian,pl017-016,pub-2788,Saint Ambrose,Acts of St. Sebastian,Acta S. Sebastiani,17,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=W21_DYBH2Sg,https://archive.org/details/acts-of-st.-sebastian,,registry
Patrologia_Latina/vol_170/Rupert of Deutz - Dispute Between a Monk and a Cleric - Whether a Monk May Preach,pl170-009,pub-2786,Rupert of Deutz,Dispute Between a Monk and a Cleric - Whether a Monk May Preach,"Altercatio monachi et clerici, quod liceat monacho praedicare.",170,,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_171/Geoffroy Babion - On the Two Cities of God and the Devil,pl171-004,pub-2884,Geoffroy Babion,On the Two Cities of God and the Devil,Sermones.,171,864-867,v2,coverage-verified,openai/gpt-5.5,https://bibliothecarius-modernus.github.io/2026/09/de-duabus-civitatibus-dei-et-diaboli-geoffroy-babion/,https://www.youtube.com/watch?v=HoT-UhOz0T0,https://archive.org/details/on-the-two-cities-of-god-and-the-devil,,registry
Patrologia_Latina/vol_171/Hildebert of Lavardin - Three Sermons on the Nativity of the Lord,pl171-004,pub-2676,Hildebert of Lavardin,Three Sermons on the Nativity of the Lord,Sermones Tres in Nativitate Domini,171,381-394,gen2,defect-recorded,,https://bibliothecarius-modernus.github.io/2025/12/sermones-tres-in-nativitate-domini-hildebert-of-lavardin/,https://www.youtube.com/watch?v=mPHeN5t4qnY,https://archive.org/details/sermones-tres-nativitate-domini-hildebert,10.5281/zenodo.17982655,registry
Patrologia_Latina/vol_172/Honorius Augustodunensis - Eight Questions on Angels and Man,pl172-017,pub-2881,Honorius Augustodunensis,Eight Questions on Angels and Man,Libellus octo quaestionum.,172,1185-1192,v2,coverage-verified,openai/gpt-5.5,https://bibliothecarius-modernus.github.io/2026/09/libellus-octo-quaestionum-de-angelis-et-homine-honorius-augustodunensis/,https://www.youtube.com/watch?v=-P4eVPONBKQ,https://archive.org/details/eight-questions-on-angels-and-man,,registry
"Patrologia_Latina/vol_172/Honorius Augustodunensis - The Inevitable, or A Dialogue on Predestination and Free Will",pl172-018,pub-2679,Honorius Augustodunensis,"The Inevitable, or A Dialogue on Predestination and Free Will",Inevitabile sive Dialogus de Praedestinatione et Libero Arbitrio,172,1197-1222,gen3,unreviewed,claude-sonnet-4.5,https://bibliothecarius-modernus.github.io/2026/06/inevitabile-sive-dialogus-de-praedestinatione-et-libero-arbitrio-honorius-augustodunensis/,https://www.youtube.com/watch?v=k2O2uouONFI,https://archive.org/details/honorius-augustodunensis-inevitabile,,registry
Patrologia_Latina/vol_174/Gottfried of Admont - Book on the Blessings of Jacob the Patriarch,pl174-005,pub-2647,Gottfried of Admont,Book on the Blessings of Jacob the Patriarch,Liber de benedictionibus Jacob patriarchae,174,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=aMrdXm__L14,https://archive.org/details/book-on-the-blessings-of-jacob-the-patriarch,,registry
Patrologia_Latina/vol_176/Hugh of Saint Victor - On the Four Wills in Christ,pl176-011,pub-2680,Hugh of Saint Victor,On the Four Wills in Christ,De Quatuor Voluntatibus in Christo,176,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/04/de-quatuor-voluntatibus-in-christo/,https://www.youtube.com/watch?v=qf-BkTxhQpU,https://archive.org/details/on-the-four-wills-in-christ,,registry
"Patrologia_Latina/vol_178/Peter Abelard - Ethics, or the Book Called Know Yourself",pl178-007,pub-2730,Peter Abelard,"Ethics, or the Book Called Know Yourself",Ethica seu Liber dictus Scito Te Ipsum,178,633-678,gen2,defect-recorded,,https://bibliothecarius-modernus.github.io/2025/12/ethica-scito-te-ipsum-peter-abelard/,https://www.youtube.com/watch?v=Lj7g6J2FKy0,https://archive.org/details/abelard-scito-te-ipsum-ethics,10.5281/zenodo.17982647,registry
Patrologia_Latina/vol_18/Anonymous - Exhortation to Monks,pl018-006,pub-2603,Anonymous,Exhortation to Monks,Exhortatio ad monachos,18,,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_18/Anonymous - Exhortation to the Bride of Christ,pl018-007,pub-2604,Anonymous,Exhortation to the Bride of Christ,Exhortatio ad sponsam Christi,18,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=n5SucB6n8OI,https://archive.org/details/exhortation-to-the-bride-of-christ,,registry
Patrologia_Latina/vol_18/Novatus the Catholic - Sentence on Humility and Obedience,pl018-005,pub-2717,Novatus the Catholic,Sentence on Humility and Obedience,Sententia de humilitate et obedientia,18,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=5TaPTer4YSY,https://archive.org/details/sentence-on-humility-and-obedience,,registry
Patrologia_Latina/vol_18/Saint Martin of Tours - Confession of the Trinity,pl018-001,pub-2794,Saint Martin of Tours,Confession of the Trinity,Confessio S Trinitatis,18,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=z8mwoA_n_54,https://archive.org/details/confession-of-the-trinity,,registry
Patrologia_Latina/vol_2/Quintus Septimius Florens Tertullian - Against the Valentinians,pl002-008,pub-2759,Quintus Septimius Florens Tertullian,Against the Valentinians,Adversus Valentinianos,2,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=iSGFpngojxQ,https://archive.org/details/against-the-valentinians,,registry
Patrologia_Latina/vol_20/Aurelius of Carthage - The Letter of Aurelius of Carthage,pl020-024,pub-2613,Aurelius of Carthage,The Letter of Aurelius of Carthage,Epistola Aurelii Carthaginensis,20,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=sQYpv6EUJ7Y,https://archive.org/details/the-letter-of-aurelius-of-carthage,,registry
Patrologia_Latina/vol_20/Phoebadius of Agen - Book against the Arians,pl020-001,pub-2735,Phoebadius of Agen,Book against the Arians,Liber contra arianos,20,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=n-mNKNK7tC0,https://archive.org/details/book-against-the-arians,,registry
Patrologia_Latina/vol_20/Phoebadius of Agen - Statement of Faith,pl020-003,pub-2736,Phoebadius of Agen,Statement of Faith,Libellus fidei,20,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=7ZZK13HDCAs,https://archive.org/details/booklet-of-faith,,registry
Patrologia_Latina/vol_20/Phoebadius of Agen - Treatise on Orthodox Faith,pl020-002,pub-2737,Phoebadius of Agen,Treatise on Orthodox Faith,Tractatus de fide orthodoxa,20,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=0yDr7Gcslo8,https://archive.org/details/treatise-on-orthodox-faith,,registry
Patrologia_Latina/vol_203/Philip of Harveng - A Response Concerning the Damnation of Solomon,pl203-006,pub-2732,Philip of Harveng,A Response Concerning the Damnation of Solomon,De damnatione Salomonis.,203,,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_203/Philip of Harveng - On the Dream of Nebuchadnezzar,pl203-004,pub-2733,Philip of Harveng,On the Dream of Nebuchadnezzar,De somnio Nabuchodonosor,203,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=EP0VAEi0N88,https://archive.org/details/on-the-dream-of-nebuchadnezzar,,registry
Patrologia_Latina/vol_203/Philip of Harveng - Response Concerning the Salvation of the First Man,pl203-006,pub-2734,Philip of Harveng,Response Concerning the Salvation of the First Man,Responsio De Damnatione Salomonis,203,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/04/responsio-de-damnatione-salomonis/,https://www.youtube.com/watch?v=DX1T56mA3FM,https://archive.org/details/a-response-concerning-the-damnation-of-solomon,10.5281/zenodo.17982611,registry
Patrologia_Latina/vol_204/Renier of St Laurent - On the Advancement of Death,pl204-014,pub-2774,Renier of St Laurent,On the Advancement of Death,De profectu mortis,204,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/05/de-profectu-mortis/,https://www.youtube.com/watch?v=LylIfved93M,https://archive.org/details/on-the-advancement-of-death,10.5281/zenodo.17982623,registry
Patrologia_Latina/vol_204/Renier of St Laurent - On the Famous Writers of His Monastery,pl204-001,pub-2775,Renier of St Laurent,On the Famous Writers of His Monastery,De claris scriptoribus monasterii sui,204,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=8Miq5IKGhfs,https://archive.org/details/on-the-famous-writers-of-his-monastery,,registry
Patrologia_Latina/vol_209/Martin of Leon - Sermons on Various Subjects,pl209-002,pub-2709,Martin of Leon,Sermons on Various Subjects,Sermones de diversis,209,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/05/sermones/,https://www.youtube.com/watch?v=D-zriDF_b1g,https://archive.org/details/sermons-on-various-subjects,,registry
Patrologia_Latina/vol_209/Martin of Leon - Sermons on the Saints,pl209-001,pub-2708,Martin of Leon,Sermons on the Saints,Sermones de sanctis,209,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/05/sermones/,https://www.youtube.com/watch?v=_2U1qNkS-fo,https://archive.org/details/sermons-on-the-saints,,registry
Patrologia_Latina/vol_210/Alain de Lille - The Plaint of Nature,pl210-010,pub-2596,Alain de Lille,The Plaint of Nature,De Planctu Naturae,210,431-482,gen2,defect-recorded,,https://bibliothecarius-modernus.github.io/2025/12/de-planctu-naturae-alain-de-lille-alanus-de-insulis/,https://www.youtube.com/watch?v=ed0n_UFGJWQ,https://archive.org/details/de-planctu-naturae-alan-of-lille,10.5281/zenodo.17982645,registry
Patrologia_Latina/vol_217/Pope Innocent III - Dialogue Between God and a Sinner,pl217-004,pub-2743,Pope Innocent III,Dialogue Between God and a Sinner,Dialogus inter Deum et Peccatorem,217,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/12/dialogus-inter-deum-et-peccatorem-pope-innocent-iii/,https://www.youtube.com/watch?v=ChsStFdL5jw,https://archive.org/details/dialogue-between-god-and-sinner-innocent-iii,10.5281/zenodo.17982649,registry
Patrologia_Latina/vol_25/Jerome of Stridon - Defense of the Learning of Jerome Against Jean Le Clerc,pl025-017,pub-2684,Jerome of Stridon,Defense of the Learning of Jerome Against Jean Le Clerc,Defensio Eruditionis Hieronymianae adversus Joannem Clericum,25,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/03/defensio-eruditionis-hieronymianae/,https://www.youtube.com/watch?v=40fIiE9grXY,https://archive.org/details/defense-of-the-learning-of-jerome-against-jean-le-clerc,10.5281/zenodo.15073583,registry
Patrologia_Latina/vol_3/Anonymous - The Muratorian Fragment,pl003-010,pub-2601,Anonymous,The Muratorian Fragment,FRAGMENTUM ACEPHALUM incerti scriptoris de canone SS. Scripturarum.,3,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=4vVtuc1phmw,https://archive.org/details/the-muratorian-fragment,,registry
Patrologia_Latina/vol_3/Anonymous - Treatise on Rebaptism,pl003-063,pub-2602,Anonymous,Treatise on Rebaptism,Liber de Rebaptismate.,3,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=pGCmlvSLzS0,https://archive.org/details/treatise-on-rebaptism,,registry
Patrologia_Latina/vol_30/Jerome-Letter-9,pl030-002,pub-2816,Unknown,Jerome-Letter-9,Epistolae.,30,13-307,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_31/Leporius - Little Book of Emendation,pl031-003,pub-2699,Leporius,Little Book of Emendation,Libellus emendationis.,31,,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_33/Augustine of Hippo - Exchange with Maximus Grammaticus,pl033-001,pub-2612,Augustine of Hippo,Exchange with Maximus Grammaticus,CLASSIS PRIMA. EPISTOLAE QUAS SCRIPSIT NONDUM EPISCOPUS (ab anno Christi 386 ad 395).,33,,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_5/Pope Caius - Letter to Felix the Bishop,pl005-011,pub-2741,Pope Caius,Letter to Felix the Bishop,CAII papae Epistola ad Felicem episcopum.,5,,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_5/Pope Sixtus II - Doubtful Letters with Fragments of Dionysius of Alexandria,pl005-002,pub-2746,Pope Sixtus II,Doubtful Letters with Fragments of Dionysius of Alexandria,Epistolae dubiae cum Dionysii Alexandrini Fragmentis,5,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=R97AkIPTFQI,https://archive.org/details/doubtful-letters-with-fragments-of-dionysius-of-alexandria,,registry
Patrologia_Latina/vol_5/Saint Felix - Four Doubtful Letters of Saint Felix,pl005-006,pub-2789,Saint Felix,Four Doubtful Letters of Saint Felix,Epistolae dubiae quatuor,5,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=3v8RPDWQHmY,https://archive.org/details/four-doubtful-letters-of-saint-felix,,registry
Patrologia_Latina/vol_50/Eucherius of Lyon - Book of Spiritual Intelligence Formulas,pl050-011,pub-2626,Eucherius of Lyon,Book of Spiritual Intelligence Formulas,Liber formularum Spiritualis intelligentiae,50,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=YMH3jHZUR60,https://archive.org/details/book-of-spiritual-intelligence-formulas,,registry
Patrologia_Latina/vol_50/Eucherius of Lyon - Certain Homilies,pl050-014,pub-2627,Eucherius of Lyon,Certain Homilies,Homiliae quaedam,50,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=7XLqUb3KXl8,https://archive.org/details/certain-homilies,,registry
Patrologia_Latina/vol_50/Eucherius of Lyon - Exhortation to the Monks,pl050-015,pub-2628,Eucherius of Lyon,Exhortation to the Monks,Exhortatio ad Monachos,50,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=OhErgn9wn-s,https://archive.org/details/exhortation-to-the-monks,,registry
Patrologia_Latina/vol_50/Eucherius of Lyon - Letter of Exhortation to Valerian,pl050-010,pub-2629,Eucherius of Lyon,Letter of Exhortation to Valerian,Epistola paraenetica ad Valerianum.,50,,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_50/Eucherius of Lyon - Little Book on the Praise of the Hermitage,pl050-009,pub-2630,Eucherius of Lyon,Little Book on the Praise of the Hermitage,Libellus de Laude Eremi,50,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/06/libellus-de-laude-eremi-scholarly-analysis/,https://www.youtube.com/watch?v=f9agxTyZwdc,https://archive.org/details/little-book-on-the-praise-of-the-hermitage,,registry
Patrologia_Latina/vol_50/Eucherius of Lyon - Passion of St. Maurice and Companions,pl050-013,pub-2631,Eucherius of Lyon,Passion of St. Maurice and Companions,Passio S. Mauricii et sociorum,50,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/04/passio-s-mauricii/,https://www.youtube.com/watch?v=jKYrw8S5Ufg,https://archive.org/details/passion-of-st.-maurice-and-companions,,registry
Patrologia_Latina/vol_50/Eucherius of Lyon - Summary of the Works of Cassian,pl050-016,pub-2632,Eucherius of Lyon,Summary of the Works of Cassian,Epitome Operum Cassiani,50,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=7V4lJZGqIHQ,https://archive.org/details/summary-of-the-works-of-cassian,,registry
Patrologia_Latina/vol_50/Hilary of Arles - Letter to St Eucherius,pl050-018,pub-2667,Hilary of Arles,Letter to St Eucherius,Epistola ad S. Eucherium.,50,,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_50/Hilary of Arles - Sermon on the Life of St. Honoratus,pl050-017,pub-2668,Hilary of Arles,Sermon on the Life of St. Honoratus,Sermo de Vita S. Honorati,50,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=2A113YiCYCQ,https://archive.org/details/sermon-on-the-life-of-st.-honoratus,,registry
Patrologia_Latina/vol_50/Hilary of Arles - Sermon on the Miracle of Saint Genesii,pl050-019,pub-2669,Hilary of Arles,Sermon on the Miracle of Saint Genesii,Sermo de Miraculo S. Genesii,50,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=jf-LQMMlvNE,https://archive.org/details/sermon-on-the-miracle-of-saint-genesii,,registry
Patrologia_Latina/vol_50/Honoratus Antoninus - Consolatory Letter to Arcadius,pl050-006,pub-2678,Honoratus Antoninus,Consolatory Letter to Arcadius,Epistola consolatoria ad Arcadium,50,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/03/epistola-consolatoria-honoratusantoninus/,https://www.youtube.com/watch?v=11SnNFY7vfM,https://archive.org/details/consolatory-letter-to-arcadius,10.5281/zenodo.17982575,registry
Patrologia_Latina/vol_51/Prosper of Aquitaine - Confession,pl051-010,pub-2755,Prosper of Aquitaine,Confession,Confessio,51,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/03/confessio-et-confessio-prolixior/,https://www.youtube.com/watch?v=BKbSxwgdWRg,https://archive.org/details/confession,,registry
Patrologia_Latina/vol_51/Prosper of Aquitaine - Contra Collatorem,pl051-006,pub-2756,Prosper of Aquitaine,Contra Collatorem,Liber contra Collatorem.,51,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=F6roax8Tzpg,https://archive.org/details/contra-collatorem,,registry
Patrologia_Latina/vol_51/Prosper of Aquitaine - The Epistles and Commentaries of Prosper of Aquitaine,pl051-001,pub-2757,Prosper of Aquitaine,The Epistles and Commentaries of Prosper of Aquitaine,Epistolae,51,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/12/epistolae-tres-bulgaranus-comes/,https://www.youtube.com/watch?v=Kf-3uHd80xQ,https://archive.org/details/the-epistles-and-commentaries-of-prosper-of-aquitaine,,registry
Patrologia_Latina/vol_52/Nicetas of Remesiana - Explanation of the Creed,pl052-008,pub-2711,Nicetas of Remesiana,Explanation of the Creed,Explanatio symboli,52,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=8oh8lq4D6C0,https://archive.org/details/explanation-of-the-creed,,registry
